,Epsilon 0.05,Epsilon 0.10,Epsilon 0.20,Epsilon 0.30,Epsilon 0.40,Epsilon 0.50
366,11.615,11.495,10.4925,9.54,8.52,7.54
367,11.5775,11.5025,10.59,9.51,8.5375,7.635
368,11.5875,11.505,10.5625,9.3825,8.54,7.26
369,11.6875,11.5475,10.515,9.48,8.5225,7.4275
370,11.6175,11.575,10.52,9.66,8.4875,7.4675
371,11.555,11.5075,10.375,9.445,8.5125,7.535
372,11.555,11.455,10.485,9.47,8.465,7.6625
373,11.605,11.495,10.51,9.6,8.465,7.39
374,11.545,11.445,10.4025,9.52,8.435,7.5425
375,11.6175,11.41,10.475,9.38,8.5775,7.5725
376,11.63,11.49,10.6925,9.3975,8.6075,7.585
377,11.65,11.53,10.5475,9.6175,8.5875,7.495
378,11.6525,11.495,10.42,9.575,8.4125,7.5275
379,11.635,11.4675,10.4275,9.3925,8.5175,7.545
380,11.65,11.4575,10.63,9.5625,8.5725,7.445
381,11.635,11.44,10.4925,9.5,8.4475,7.46
382,11.62,11.54,10.5125,9.4675,8.615,7.5
383,11.64,11.475,10.6475,9.515,8.435,7.445
384,11.6675,11.4725,10.465,9.5475,8.36,7.3675
385,11.6725,11.4975,10.555,9.455,8.47,7.475
386,11.69,11.535,10.51,9.6275,8.6375,7.655
387,11.67,11.54,10.5175,9.43,8.5225,7.4725
388,11.69,11.555,10.4725,9.3625,8.395,7.3475
389,11.63,11.4225,10.5275,9.5825,8.475,7.5725
390,11.695,11.605,10.585,9.555,8.36,7.6725
391,11.61,11.585,10.5425,9.405,8.5525,7.6225
392,11.685,11.4925,10.465,9.4525,8.6575,7.4525
393,11.645,11.505,10.4775,9.485,8.4075,7.6
394,11.65,11.4875,10.605,9.54,8.505,7.5725
395,11.65,11.46,10.53,9.505,8.6225,7.55
396,11.72,11.5075,10.5525,9.665,8.45,7.405
397,11.665,11.4625,10.4475,9.5475,8.42,7.4725
398,11.6175,11.5075,10.47,9.62,8.4475,7.3775
399,11.645,11.5125,10.53,9.4475,8.4625,7.495
